,cords
487,"(39.666109920662606, -86.18211329271185, 0.0)"
488,"(39.666109920662606, -86.18211329271185, 0.0)"
489,"(39.666109920662606, -86.18211329271185, 0.0)"
490,"(39.666109920662606, -86.18211329271185, 0.0)"
491,"(39.76163378970662, -86.06587091297456, 0.0)"
492,"(39.76163378970662, -86.06587091297456, 0.0)"
493,"(39.76163378970662, -86.06587091297456, 0.0)"
494,"(39.76163378970662, -86.06587091297456, 0.0)"
495,"(39.774642, -86.191464, 0.0)"
496,"(39.774642, -86.191464, 0.0)"
497,"(39.7512809, -86.1791682, 0.0)"
498,"(39.7512809, -86.1791682, 0.0)"
499,"(39.7512809, -86.1791682, 0.0)"
500,"(39.7512809, -86.1791682, 0.0)"
501,"(39.79105, -86.009462, 0.0)"
502,"(39.79105, -86.009462, 0.0)"
503,"(39.79105, -86.009462, 0.0)"
504,"(39.741386, -86.143011, 0.0)"
505,"(39.741386, -86.143011, 0.0)"
506,"(39.83347663157895, -86.00795605263158, 0.0)"
507,"(39.83347663157895, -86.00795605263158, 0.0)"
508,"(39.6679403, -86.082515, 0.0)"
509,"(39.8191114137931, -86.001951, 0.0)"
510,"(39.73619012244898, -86.23975740816326, 0.0)"
511,"(39.73619012244898, -86.23975740816326, 0.0)"
512,"(39.765362249999995, -86.154904452847, 0.0)"
513,"(39.780805, -86.198504, 0.0)"
514,"(39.780805, -86.198504, 0.0)"
515,"(39.871319, -86.122288, 0.0)"
516,"(39.871319, -86.122288, 0.0)"
517,"(39.871319, -86.122288, 0.0)"
518,"(39.765362249999995, -86.154904452847, 0.0)"
519,"(39.8736356, -86.24368879000001, 0.0)"
520,"(39.8736356, -86.24368879000001, 0.0)"
521,"(39.8736356, -86.24368879000001, 0.0)"
522,"(39.8736356, -86.24368879000001, 0.0)"
523,"(39.8736356, -86.24368879000001, 0.0)"
524,"(39.81476396628312, -86.08163489590409, 0.0)"
525,"(39.81476396628312, -86.08163489590409, 0.0)"
526,"(39.79106842857143, -86.11493542857143, 0.0)"
527,"(39.79106842857143, -86.11493542857143, 0.0)"
528,"(39.79106842857143, -86.11493542857143, 0.0)"
529,"(39.80227804878049, -86.10799273170731, 0.0)"
530,"(39.80227804878049, -86.10799273170731, 0.0)"
531,"(39.8736356, -86.24368879000001, 0.0)"
532,"(39.8736356, -86.24368879000001, 0.0)"
533,"(39.8736356, -86.24368879000001, 0.0)"
534,"(39.8736356, -86.24368879000001, 0.0)"
535,"(39.8736356, -86.24368879000001, 0.0)"
536,"(39.8736356, -86.24368879000001, 0.0)"
537,"(39.8736356, -86.24368879000001, 0.0)"
538,"(39.78275740816326, -86.2009341632653, 0.0)"
539,"(39.78275740816326, -86.2009341632653, 0.0)"
540,"(39.78275740816326, -86.2009341632653, 0.0)"
541,"(39.66535763636364, -86.1058372121212, 0.0)"
542,"(39.88211273469388, -86.14545208163265, 0.0)"
543,"(39.88211273469388, -86.14545208163265, 0.0)"
544,"(39.88211273469388, -86.14545208163265, 0.0)"
545,"(39.755175383838385, -86.20271752525252, 0.0)"
546,"(39.755175383838385, -86.20271752525252, 0.0)"
547,"(39.755175383838385, -86.20271752525252, 0.0)"
